阳泉,#genre#
CCTV-2财经,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=065
CCTV-3综艺,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=126
CCTV-4中文国际,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=14
CCTV-5体育,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=125
CCTV-5+体育赛事,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=124
CCTV-6电影,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=127
CCTV-7国防军事,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=41
CCTV-8电视剧,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=128
CCTV-9纪录,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=050
CCTV-10科教,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=099
CCTV-11戏曲,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=008
CCTV-12社会与法,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=168
CCTV-13新闻,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=032
CCTV-14少儿,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=151
CCTV-15音乐,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=007
CCTV-17农业农村,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=200
山西导视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=114
东方卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=117
天津卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=129
山东卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=130
湖北卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=131
甘肃卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=132
安徽卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=133
江苏卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=156
河南卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=136
东南卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=140
幸福彩,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=142
宁夏卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=146
陕西卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=147
重庆卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=148
新疆卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=149
靓妆,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=150
北京卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=152
湖南卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=153
浙江卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=157
深圳卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=159
